site_id;date;product_id;category1_id;hour;units;total;site_name
60060.0;2022-03-03;2010029;119;8;1.0;4.7;Tienda Norte
60060.0;2022-02-06;2010029;119;23;2.0;9.4;Tienda Norte
;2022-02-06;3140206;119;8;1.0;4.5;Tienda Norte
60060.0;2022-02-21;2010520;119;20;1.0;4.9;Tienda Norte
60970.0;2022-01-20;3140194;119;11;1.0;4.45;Tienda Sur
60060.0;2022-12-25;2010029;119;9;1.0;5.05;Tienda Norte
60060.0;2022-04-02;2010029;119;13;1.0;4.7;Tienda Norte
60060.0;2022-01-02;2010029;119;11;2.0;9.4;Tienda Norte
60060.0;2022-02-23;3140206;119;22;3.0;13.5;Tienda Norte
60060.0;2022-03-25;2010029;119;8;1.0;4.7;Tienda Norte
61602.0;2022-10-17;3140194;119;7;1.0;4.45;Tienda Este
60060.0;2022-12-24;2010029;119;17;1.0;4790.566267942582;Tienda Norte
60060.0;2022-03-14;3140206;119;14;3.0;13.5;Tienda Norte
60060.0;2022-03-26;2010520;119;12;1.0;4.9;Tienda Norte
60060.0;2022-10-24;2010520;119;20;2.0;9.8;Tienda Norte
60190.0;2022-05-27;3140194;119;8;1.0;999999.0;Tienda Oeste
60190.0;2022-06-28;3140194;119;6;1.0;4.45;Tienda Oeste
60060.0;2022-11-13;2010520;119;17;1.0;4.9;Tienda Norte
60060.0;2022-04-14;6260265;159;18;1.0;0.0;Tienda Norte
60970.0;2022-10-31;3140194;119;15;1.0;4.45;Tienda Sur
60060.0;2022-01-03;2010029;119;14;1.0;4.7;Tienda Norte
60060.0;2022-11-07;2010029;119;19;2.0;;Tienda Norte
60060.0;2022-07-26;6260265;159;16;1.0;0.0;Tienda Norte
60190.0;2022-04-08;3140194;119;14;2.0;8.9;Tienda Oeste
60060.0;2022-06-23;2010029;119;14;1.0;4.7;Tienda Norte
60060.0;2022-03-24;2010029;119;22;3.0;14.1;Tienda Norte
60060.0;2022-08-26;2010029;119;2;1.0;4.7;Tienda Norte
60060.0;2022-06-12;5110009;159;15;2.0;1.0;Tienda Norte
60060.0;2022-07-05;2010029;119;0;2.0;9.4;Tienda Norte
60060.0;2022-10-02;2010029;119;11;1.0;;Tienda Norte
60190.0;2022-07-21;3140194;119;1;1.0;4.45;Tienda Oeste
60060.0;2022-08-06;2010029;119;0;1.0;4.7;Tienda Norte
60190.0;2022-06-16;3140194;119;9;1.0;4.45;Tienda Oeste
60060.0;2022-09-30;5010011;159;10;1.0;0.0;Tienda Norte
60060.0;2022-01-18;3140206;119;12;1.0;4.5;Tienda Norte
60060.0;2022-10-13;2010520;119;14;1.0;6.137599999999998;Tienda Norte
60060.0;2022-08-19;2010520;119;2;1.0;4.9;Tienda Norte
61602.0;2022-05-24;3140194;119;8;;;Tienda Este
61602.0;2022-04-11;3140194;119;14;2.0;8.9;Tienda Este
60190.0;2022-04-11;3140194;119;1;1.0;4.45;Tienda Oeste
60060.0;2022-10-22;2010029;119;17;1.0;4.7;Tienda Sur
60060.0;2022-03-04;3140206;119;19;;4.35;Tienda Norte
60060.0;2022-01-24;2010520;119;0;1.0;4.9;Tienda Norte
60060.0;2022-03-08;3140206;119;11;1.0;4.5;Tienda Norte
60060.0;2022-01-11;2010029;119;9;1.0;4.7;Tienda Norte
60190.0;2022-04-13;3140194;119;8;1.0;4.45;Tienda Oeste
60060.0;2022-08-20;2010029;119;5;1.0;4.7;Tienda Norte
60060.0;2022-08-20;2010029;119;20;1.0;4.7;Tienda Norte
61602.0;2022-03-30;3140194;119;18;;13.35;Tienda Este
60060.0;2022-12-25;5010011;159;10;1.0;0.0;Tienda Norte
60190.0;2022-04-07;3140194;119;17;1.0;5.507870370370371;Tienda Oeste
60060.0;2022-02-16;2010029;119;9;1.0;4.7;Tienda Norte
;2022-03-28;3140194;119;20;2.0;8.9;Tienda Oeste
60060.0;2022-05-03;6260265;159;19;;0.0;Tienda Norte
60060.0;2022-03-05;3140206;119;4;1.0;4.5;Tienda Norte
60190.0;2022-11-15;3140194;119;8;1.0;;Tienda Oeste
60060.0;2022-08-29;3140194;119;2;2.0;8.9;Tienda Norte
60060.0;2022-06-17;2010520;119;8;1.0;4.9;Tienda Norte
60060.0;2022-10-21;2010029;119;11;1.0;4.7;Tienda Norte
60970.0;2022-10-31;3140194;119;20;1.0;4.45;Tienda Sur
60060.0;2022-12-22;3140194;119;6;1.0;4.8;Tienda Norte
60060.0;2022-06-08;2010029;119;20;1.0;4.7;Tienda Norte
60060.0;2022-05-13;2010029;119;9;1.0;4.7;Tienda Norte
60190.0;2022-08-28;3140194;119;13;2.0;8.9;Tienda Oeste
60970.0;2022-10-11;3140194;119;17;1.0;4.45;Tienda Sur
60190.0;2022-06-18;3140194;119;3;1.0;4.45;Tienda Oeste
60970.0;2022-07-03;3140194;119;9;1.0;4.45;Tienda Sur
60060.0;2022-08-23;2010029;119;13;1.0;4.7;Tienda Norte
60060.0;2022-02-19;3140206;119;0;1.0;4.5;Tienda Norte
60060.0;2022-09-30;2010029;119;9;1.0;4.7;Tienda Norte
60060.0;2022-04-01;3140206;119;20;3.0;13.5;Tienda Norte
60060.0;2022-08-22;2010029;119;4;1.0;4.7;Tienda Norte
60060.0;2022-02-09;3140206;119;5;1.0;4.5;Tienda Norte
60060.0;2022-03-19;2010029;119;14;1.0;4.7;Tienda Norte
